Instance,Model,flatBoolConstraints,flatTime,evaluatedReifiedConstraints,flatIntVars,solveTime,propagators,variables,boolVariables,baseMem,backjumps,trailMem,flatIntConstraints,time,flatBoolVars,nogoods,optTime,initTime,method,failures,paths,objective,restarts,eliminatedImplications,randomSeed,intVars,nSolutions,evaluatedHalfReifiedConstraints,peakMem,propagations,peakDepth,nodes
test_data/concert-35-100-1000-01.dzn,Model with manual Dominance,415,0.290788,487,536,310.310,1705,20627,20033,0.00,352769,0.04,1194,310.358,489,2744493,299.921,0.048,"maximize",2744493,0,42772,64, ,1579225840,592,1,2,0.00,1189232552,38,3098793
test_data/concert-35-100-1000-01.dzn,Model without without Dominance,406,0.411652,486,536,505.888,1705,21301,20707,0.00,528408,0.04,1191,505.916,486,4305384,462.552,0.028,"maximize",4305384,0,42772,70, ,1579226151,592,1, ,0.00,1888951437,37,4835447
test_data/concert-35-100-1000-01.dzn,Length-2 NoGood detection,332,0.308338,154,91,0.066,114,2570,2473,0.00,993,0.19,255,0.076,272,1530, ,0.010,"satisfy",1530,0, ,0,40,1579226657,95,232,66,0.00,85613,60,7295
test_data/concert-35-100-1000-01.dzn,Model with length-2 NoGoods,638,0.303228,563,536,12.243,1705,16155,15561,0.00,25242,0.04,1292,12.296,587,134976,11.989,0.053,"maximize",134976,0,42772,51, ,1579226658,592,1,24,0.00,62135796,52,162174
test_data/concert-35-100-1000-01.dzn,Length-3 NoGood detection,913,0.231389,345,175,1.716,268,9461,9278,0.00,7050,0.28,583,1.759,690,21439, ,0.043,"satisfy",21439,0, ,0,88,1579226671,181,622,158,0.00,2882956,71,47445
test_data/concert-35-100-1000-01.dzn,Model with length-3 NoGoods,1260,0.341909,651,536,8.212,1705,15254,14660,0.00,15982,0.04,1367,8.240,662,93825,8.007,0.028,"maximize",93825,0,42772,45, ,1579226673,592,1,11,0.00,44190897,38,111019
test_data/concert-35-100-1000-01.dzn,Length-4 NoGood detection,1885,0.216141,491,217,58.616,369,37936,37709,0.00,42106,0.42,805,58.682,1042,256362, ,0.066,"satisfy",256362,0, ,0,115,1579226681,225,1441,210,0.00,38663966,84,365115
test_data/concert-35-100-1000-01.dzn,Model with length-4 NoGoods,2701,0.469988,658,536,7.910,1705,16536,15942,0.00,15790,0.04,1370,7.948,665,94969,7.690,0.038,"maximize",94969,0,42772,43, ,1579226741,592,1,7,0.00,45134908,34,111799
test_data/concert-35-100-1000-02.dzn,Model with manual Dominance,510,0.339178,568,804,1044.736,2225,26255,25377,0.00,588202,0.04,1679,1044.758,570,4567045,312.508,0.022,"maximize",4567045,0,43348,46, ,1579226750,876,1,2,0.00,2494395703,35,5156260
test_data/concert-35-100-1000-02.dzn,Model without without Dominance,488,0.33985,566,804,3599.660,2225,34585,33707,0.00,1427870,0.04,1675,3599.682,566,15136354,1403.072,0.022,"maximize",15136354,0,43348,44, ,1579227795,876,1, ,0.00,8012336455,38,16565243
test_data/concert-35-100-1000-02.dzn,Length-2 NoGood detection,340,0.251986,150,103,0.169,138,3019,2910,0.00,1380,0.28,287,0.192,296,2154, ,0.023,"satisfy",2154,0, ,0,56,1579231395,107,659,98,0.00,143004,73,25601
test_data/concert-35-100-1000-02.dzn,Model with length-2 NoGoods,1147,0.35839,677,804,1.132,2225,9127,8249,0.00,3080,0.04,1805,1.200,696,18775,0.605,0.068,"maximize",18775,0,43348,58, ,1579231396,876,1,19,0.00,11212767,34,23533
test_data/concert-35-100-1000-02.dzn,Length-3 NoGood detection,1360,0.241646,371,199,2.215,313,10884,10677,0.00,7771,0.42,672,2.234,778,25738, ,0.019,"satisfy",25738,0, ,0,115,1579231397,205,1139,212,0.00,4034912,97,88901
test_data/concert-35-100-1000-02.dzn,Model with length-3 NoGoods,2286,0.41704,733,804,0.858,2225,10242,9364,0.00,2463,0.04,1850,0.935,741,15252,0.447,0.077,"maximize",15252,0,43348,58, ,1579231400,876,1,8,0.00,9031326,29,19106
test_data/concert-35-100-1000-02.dzn,Length-4 NoGood detection,2779,0.305975,481,239,59.450,414,40406,40157,0.00,45955,0.63,864,59.531,1054,264685, ,0.081,"satisfy",264685,0, ,0,146,1579231401,247,2402,272,0.00,43716604,130,470168
