Instance,Model,flatBoolConstraints,flatTime,evaluatedReifiedConstraints,flatIntVars,solveTime,propagators,variables,boolVariables,baseMem,backjumps,trailMem,flatIntConstraints,time,flatBoolVars,nogoods,optTime,initTime,method,failures,paths,objective,restarts,eliminatedImplications,randomSeed,intVars,nSolutions,evaluatedHalfReifiedConstraints,peakMem,propagations,peakDepth,nodes
test_data/concert-40-100-1000-01.dzn,Model with manual Dominance,357,0.371618,421,552,1068.693,1581,20144,19576,0.00,1966208,0.04,1171,1068.740,425,10703428,1018.944,0.047,"maximize",10703428,0,54901,266, ,1579225841,566,1,4,0.00,4867749264,37,12677167
test_data/concert-40-100-1000-01.dzn,Model without without Dominance,346,0.570268,419,552,1789.310,1581,21241,20673,0.00,2560255,0.04,1165,1789.364,419,16084490,1645.850,0.054,"maximize",16084490,0,54901,260, ,1579226911,566,1, ,0.00,7500209552,39,18651539
test_data/concert-40-100-1000-01.dzn,Length-2 NoGood detection,321,0.285268,169,84,0.104,90,2605,2515,0.00,1735,0.19,254,0.125,295,1400, ,0.021,"satisfy",1400,0, ,0,32,1579228701,88,222,58,0.00,58680,80,7965
test_data/concert-40-100-1000-01.dzn,Model with length-2 NoGoods,568,0.304907,488,552,94.760,1581,14382,13814,0.00,281191,0.04,1269,94.811,523,1241874,90.338,0.051,"maximize",1241874,0,54901,209, ,1579228701,566,1,35,0.00,568926740,61,1533600
test_data/concert-40-100-1000-01.dzn,Length-3 NoGood detection,900,0.305432,369,164,1.506,235,8331,8159,0.00,5907,0.28,586,1.550,736,18475, ,0.044,"satisfy",18475,0, ,0,77,1579228797,170,634,148,0.00,1881706,75,46228
test_data/concert-40-100-1000-01.dzn,Model with length-3 NoGoods,1202,0.330216,578,552,76.179,1581,14183,13615,0.00,213900,0.04,1352,76.237,606,933089,74.122,0.058,"maximize",933089,0,54901,140, ,1579228799,566,1,28,0.00,443108761,55,1153599
test_data/concert-40-100-1000-01.dzn,Length-4 NoGood detection,1901,0.310137,525,194,49.940,315,31894,31690,0.00,40223,0.42,801,49.989,1117,226203, ,0.049,"satisfy",226203,0, ,0,97,1579228875,202,1663,190,0.00,26067811,86,342124
test_data/concert-40-100-1000-01.dzn,Model with length-4 NoGoods,2865,0.386014,617,552,78.896,1581,15715,15147,0.00,237132,0.04,1380,78.926,634,1024587,77.414,0.030,"maximize",1024587,0,54901,141, ,1579228926,566,1,17,0.00,475902071,46,1267048
test_data/concert-40-100-1000-02.dzn,Model with manual Dominance,429,0.458315,496,664,115.504,1857,30321,29629,0.00,187666,0.04,1394,115.558,497,746816,99.934,0.054,"maximize",746816,0,39048,192, ,1579229006,690,1,1,0.00,349134533,39,939262
test_data/concert-40-100-1000-02.dzn,Model without without Dominance,409,0.39399,493,664,1468.035,1857,38625,37933,0.00,1403470,0.04,1390,1468.089,493,7676906,1168.032,0.054,"maximize",7676906,0,39048,204, ,1579229122,690,1, ,0.00,3738199692,41,9085374
