Instance,Model,flatBoolConstraints,flatTime,evaluatedReifiedConstraints,flatIntVars,solveTime,propagators,variables,boolVariables,baseMem,backjumps,trailMem,flatIntConstraints,time,flatBoolVars,nogoods,optTime,initTime,method,failures,paths,objective,restarts,eliminatedImplications,randomSeed,intVars,nSolutions,evaluatedHalfReifiedConstraints,peakMem,propagations,peakDepth,nodes
data/wmcp-35-0.10-10-01.dzn,Model without without Dominance, ,0.0576443,74,110,15.356,225,1596,1484,0.00,47502,0.01,149,15.368,74,435005,11.047,0.012,"maximize",435005,0,367,105, ,1578794636,110,1, ,0.00,25219755,36,485009
data/wmcp-35-0.10-10-01.dzn,Length-2 NoGood detection,322,0.188999,398,399,0.058,880,3505,3102,0.00,0,0.02,835,0.073,616,1827, ,0.015,"satisfy",1827,0, ,0,70,1578794652,401,8,214,0.00,466914,7,1860
data/wmcp-35-0.10-10-01.dzn,Model with length-2 NoGoods,8,0.0526456,75,110,15.553,225,1619,1507,0.00,23871,0.01,164,15.559,89,465703,10.896,0.006,"maximize",465703,0,367,105, ,1578794652,110,1,14,0.00,26209505,43,492291
data/wmcp-35-0.10-10-01.dzn,Length-3 NoGood detection,348,0.182322,450,402,0.864,886,3883,3476,0.00,364,0.02,891,0.892,687,24611, ,0.028,"satisfy",24611,0, ,0,70,1578794668,405,36,216,0.00,4863690,8,25155
data/wmcp-35-0.10-10-01.dzn,Model with length-3 NoGoods,44,0.0327994,102,110,4.119,225,1675,1563,0.00,9547,0.01,184,4.132,109,140716,2.713,0.013,"maximize",140716,0,367,105, ,1578794669,110,1,7,0.00,7848238,42,152898
data/wmcp-35-0.10-10-01.dzn,Length-4 NoGood detection,407,0.155892,507,405,23.120,892,4299,3888,0.00,3008,0.02,952,23.163,768,270523, ,0.043,"satisfy",270523,0, ,0,70,1578794673,409,65,218,0.00,46392059,9,273856
data/wmcp-35-0.10-10-01.dzn,Model with length-4 NoGoods,109,0.0673746,105,110,3.214,225,1740,1628,0.00,6825,0.01,184,3.228,109,107268,1.991,0.014,"maximize",107268,0,367,105, ,1578794696,110,1,4,0.00,6172244,39,116595
data/wmcp-35-0.10-10-01.dzn,Length-5 NoGood detection,475,0.202266,544,408,593.708,898,4704,4289,0.00,7402,0.02,993,593.748,809,3674758, ,0.040,"satisfy",3674758,0, ,0,70,1578794700,413,43,220,0.00,609244372,10,3682375
data/wmcp-35-0.10-10-01.dzn,Model with length-5 NoGoods,152,0.072033,105,110,3.053,225,1783,1671,0.00,6777,0.01,184,3.068,109,104359,1.871,0.015,"maximize",104359,0,367,105, ,1578795294,110,1,4,0.00,6032256,39,113638
data/wmcp-35-0.10-10-02.dzn,Model without without Dominance, ,0.0579426,60,96,2.179,183,1252,1154,0.00,40646,0.00,121,2.189,60,93837,0.734,0.010,"maximize",93837,0,266,103, ,1578795297,96,1, ,0.00,5233157,36,137017
