Instance,Model,flatBoolConstraints,flatTime,evaluatedReifiedConstraints,flatIntVars,solveTime,propagators,variables,boolVariables,baseMem,backjumps,trailMem,flatIntConstraints,time,flatBoolVars,nogoods,optTime,initTime,method,failures,paths,objective,restarts,eliminatedImplications,randomSeed,intVars,nSolutions,evaluatedHalfReifiedConstraints,peakMem,propagations,peakDepth,nodes
data/wmcp-45-0.10-10-01.dzn,Model without without Dominance, ,0.061663,112,158,2103.057,339,2266,2106,0.00,2950474,0.01,225,2103.071,112,64810063,1010.124,0.014,"maximize",64810063,0,513,134, ,1578794640,158,1, ,0.00,5772680531,46,67764690
data/wmcp-45-0.10-10-01.dzn,Length-2 NoGood detection,412,0.231731,544,545,0.163,1228,4727,4178,0.00,0,0.02,1137,0.211,822,3020, ,0.048,"satisfy",3020,0, ,0,90,1578796743,547,10,274,0.00,1034812,7,3061
data/wmcp-45-0.10-10-01.dzn,Model with length-2 NoGoods,10,0.0644756,113,158,736.023,339,2295,2135,0.00,917435,0.01,244,736.040,131,21142235,373.658,0.017,"maximize",21142235,0,513,134, ,1578796744,158,1,18,0.00,1897442954,55,22064076
data/wmcp-45-0.10-10-01.dzn,Length-3 NoGood detection,444,0.192037,610,548,2.151,1234,5205,4652,0.00,632,0.04,1207,2.202,911,51246, ,0.051,"satisfy",51246,0, ,0,90,1578797480,551,52,276,0.00,13030117,8,52138
data/wmcp-45-0.10-10-01.dzn,Model with length-3 NoGoods,62,0.0697193,149,158,204.663,339,2373,2213,0.00,261627,0.01,270,204.681,157,5644432,113.524,0.018,"maximize",5644432,0,513,134, ,1578797482,158,1,8,0.00,491785087,53,5910156
data/wmcp-45-0.10-10-01.dzn,Length-4 NoGood detection,525,0.266702,683,551,62.448,1240,5739,5182,0.00,6847,0.04,1284,62.491,1014,736040, ,0.043,"satisfy",736040,0, ,0,90,1578797687,555,57,278,0.00,154138509,9,743172
data/wmcp-45-0.10-10-01.dzn,Model with length-4 NoGoods,119,0.0713371,150,158,150.873,339,2430,2270,0.00,204451,0.01,270,150.886,157,4156750,84.400,0.013,"maximize",4156750,0,513,134, ,1578797750,158,1,7,0.00,362440458,52,4365184
data/wmcp-45-0.10-10-01.dzn,Length-5 NoGood detection,585,0.213349,730,554,2510.715,1246,6226,5665,0.00,38419,0.04,1335,2510.773,1065,17015116, ,0.058,"satisfy",17015116,0, ,0,90,1578797901,559,97,280,0.00,3117065100,10,17054020
data/wmcp-45-0.10-10-01.dzn,Model with length-5 NoGoods,216,0.0691102,153,158,135.010,339,2527,2367,0.00,174576,0.01,270,135.030,157,3818347,76.754,0.020,"maximize",3818347,0,513,134, ,1578800412,158,1,4,0.00,332258907,49,3996761
data/wmcp-45-0.10-10-02.dzn,Model without without Dominance, ,0.0633601,92,138,990.562,279,1902,1762,0.00,6808607,0.01,185,990.576,92,33231074,400.117,0.014,"maximize",33231074,0,419,159, ,1578800548,138,1, ,0.00,2398367551,46,40044543
data/wmcp-45-0.10-10-02.dzn,Length-2 NoGood detection,412,0.262385,504,505,0.142,1108,4447,3938,0.00,2,0.02,1057,0.173,782,3005, ,0.031,"satisfy",3005,0, ,0,90,1578801539,507,10,274,0.00,932514,7,3049
data/wmcp-45-0.10-10-02.dzn,Model with length-2 NoGoods,10,0.0655386,93,138,343.381,279,1931,1791,0.00,820694,0.01,204,343.395,111,10948805,167.651,0.014,"maximize",10948805,0,419,159, ,1578801539,138,1,18,0.00,745353836,55,11774651
data/wmcp-45-0.10-10-02.dzn,Length-3 NoGood detection,444,0.198137,570,508,2.308,1114,4925,4412,0.00,1682,0.04,1127,2.356,871,48765, ,0.048,"satisfy",48765,0, ,0,90,1578801883,511,55,276,0.00,10584206,8,50722
data/wmcp-45-0.10-10-02.dzn,Model with length-3 NoGoods,65,0.0670733,129,138,69.911,279,2011,1871,0.00,125159,0.01,229,69.922,136,1928390,34.785,0.011,"maximize",1928390,0,419,159, ,1578801885,138,1,7,0.00,131279110,52,2058530
data/wmcp-45-0.10-10-02.dzn,Length-4 NoGood detection,527,0.200357,642,511,41.430,1120,5460,4943,0.00,12689,0.04,1203,41.469,972,644108, ,0.039,"satisfy",644108,0, ,0,90,1578801956,515,62,278,0.00,100470374,9,657107
data/wmcp-45-0.10-10-02.dzn,Model with length-4 NoGoods,127,0.0708021,132,138,52.287,279,2073,1933,0.00,65365,0.01,229,52.299,136,1406646,25.264,0.012,"maximize",1406646,0,419,159, ,1578801997,138,1,4,0.00,98095782,49,1476687
data/wmcp-45-0.10-10-02.dzn,Length-5 NoGood detection,592,0.205579,689,514,1668.547,1126,5952,5431,0.00,661862,0.04,1254,1668.591,1023,14988536, ,0.044,"satisfy",14988536,0, ,0,90,1578802050,519,46,280,0.00,2313308095,10,15650628
