Instance,Model,flatBoolConstraints,flatTime,evaluatedReifiedConstraints,flatIntVars,solveTime,propagators,variables,boolVariables,baseMem,backjumps,trailMem,flatIntConstraints,time,flatBoolVars,nogoods,optTime,initTime,method,failures,paths,objective,restarts,eliminatedImplications,randomSeed,intVars,nSolutions,evaluatedHalfReifiedConstraints,peakMem,propagations,peakDepth,nodes
data/knapsack-100-10.dzn,Model with manual Dominance,289,0.191931,304,101,1.052,2589,3145,3042,0.00,2562,0.02,2314,1.089,304,52780,1.052,0.037,"maximize",52780,0,2503,58, ,1578794819,101,1, ,0.00,5226520,11,55693
data/knapsack-100-10.dzn,Model without without Dominance, ,0.0632454, ,101,3599.939,12,4906,4803,0.00,0,0.01,11,3599.943, ,112950504,2757.089,0.004,"maximize",112950504,0,1373,210, ,1578794821,101,1, ,0.00,499271733,30,112954389
data/knapsack-100-10.dzn,Length-2 NoGood detection,243,0.211587,398,196,0.273,286,4741,4541,0.00,1756,0.02,533,0.306,522,2882, ,0.033,"satisfy",2882,0, ,0,30,1578798421,198,1988,78,0.00,324034,34,5468
data/knapsack-100-10.dzn,Model with length-2 NoGoods,1988,0.131699,167,101,2.017,12,4916,4813,0.00,5673,0.00,185,2.043,174,112648,2.017,0.026,"maximize",112648,0,2503,68, ,1578798422,101,1,7,0.00,377318,12,118764
data/knapsack-100-10.dzn,Length-3 NoGood detection,2492,0.327527,759,375,8.915,551,10482,10102,0.00,26977,0.04,1157,8.996,1144,87029, ,0.081,"satisfy",87029,0, ,0,115,1578798424,378,27357,248,0.00,9938646,95,152023
data/knapsack-100-10.dzn,Model with length-3 NoGoods,29345,1.24452,198,101,0.010,12,30345,30242,0.00,3,0.00,210,0.207,199,221,0.010,0.197,"maximize",221,0,2503,9, ,1578798435,101,1,1,0.00,981,6,264
data/knapsack-100-10.dzn,Length-4 NoGood detection,29876,2.76508,886,384,327.022,561,39849,39459,0.00,458775,0.04,1292,327.347,1298,2379575, ,0.325,"satisfy",2379575,0, ,0,115,1578798438,388,114417,248,0.00,268455581,97,3005297
data/knapsack-100-10.dzn,Model with length-4 NoGoods,143762,6.78478,200,101,0.032,12,144669,144566,0.00,3,0.00,211,0.773,200,104,0.032,0.741,"maximize",104,0,2503,3, ,1578798775,101,1, ,0.00,464,5,120
data/knapsack-100-1.dzn,Model with manual Dominance,543,0.177918,557,101,1.363,3064,2794,2691,0.00,1801,0.04,2534,1.412,557,54039,1.359,0.049,"maximize",54039,0,2627,32, ,1578798776,101,1, ,0.00,7307208,12,56057
data/knapsack-100-1.dzn,Model without without Dominance, ,0.0548045, ,101,3599.945,12,4686,4583,0.00,0,0.01,11,3599.949, ,119652662,3071.545,0.004,"maximize",119652662,0,1149,151, ,1578798778,101,1, ,0.00,505015277,27,119655097
data/knapsack-100-1.dzn,Length-2 NoGood detection,243,0.182926,398,196,0.294,286,4709,4509,0.00,2180,0.02,533,0.327,522,2974, ,0.033,"satisfy",2974,0, ,0,30,1578802378,198,1949,78,0.00,310530,19,5725
data/knapsack-100-1.dzn,Model with length-2 NoGoods,1949,0.12715,163,101,1.079,12,4282,4179,0.00,35,0.00,187,1.105,176,57118,1.078,0.026,"maximize",57118,0,2627,42, ,1578802379,101,1,13,0.00,226461,13,57549
data/knapsack-100-1.dzn,Length-3 NoGood detection,2455,0.307088,761,375,7.604,551,10399,10019,0.00,28011,0.04,1159,7.682,1148,79463, ,0.078,"satisfy",79463,0, ,0,115,1578802380,378,23463,248,0.00,8462487,116,137509
data/knapsack-100-1.dzn,Model with length-3 NoGoods,25412,0.950673,197,101,0.012,12,26534,26431,0.00,20,0.00,208,0.190,197,431,0.011,0.178,"maximize",431,0,2627,7, ,1578802389,101,1, ,0.00,2233,8,495
data/knapsack-100-1.dzn,Length-4 NoGood detection,25941,2.42591,884,384,313.131,561,35848,35458,0.00,476050,0.04,1290,313.445,1294,2246761, ,0.314,"satisfy",2246761,0, ,0,115,1578802392,388,89234,248,0.00,251144571,103,2841699
data/knapsack-100-1.dzn,Model with length-4 NoGoods,114646,5.06562,200,101,0.030,12,115563,115460,0.00,12,0.00,211,0.631,200,100,0.029,0.601,"maximize",100,0,2627,7, ,1578802713,101,1, ,0.00,518,7,146
data/knapsack-100-2.dzn,Model with manual Dominance,511,0.130709,528,101,1.528,2954,3411,3308,0.00,1740,0.04,2459,1.571,528,75124,1.528,0.043,"maximize",75124,0,2633,49, ,1578802714,101,1, ,0.00,6673573,13,77178
data/knapsack-100-2.dzn,Model without without Dominance, ,0.0679609, ,101,3599.932,12,5285,5182,0.00,14028,0.01,11,3599.937, ,101184530,2235.607,0.005,"maximize",101184530,0,1221,143, ,1578802716,101,1, ,0.00,424873997,27,101201172
data/knapsack-100-2.dzn,Length-2 NoGood detection,249,0.180854,404,208,0.285,304,4853,4641,0.00,1661,0.02,557,0.319,534,2955, ,0.034,"satisfy",2955,0, ,0,36,1578806316,210,1913,90,0.00,324651,23,5261
data/knapsack-100-2.dzn,Model with length-2 NoGoods,1913,0.125455,160,101,14.998,12,5058,4955,0.00,37912,0.00,188,15.024,177,601415,14.989,0.026,"maximize",601415,0,2633,66, ,1578806316,101,1,17,0.00,2396806,17,640106
data/knapsack-100-2.dzn,Length-3 NoGood detection,2423,0.315299,765,381,7.640,560,10488,10102,0.00,24369,0.04,1172,7.706,1156,78657, ,0.066,"satisfy",78657,0, ,0,118,1578806332,384,20464,254,0.00,9844811,107,129804
data/knapsack-100-2.dzn,Model with length-3 NoGoods,22377,0.873912,199,101,0.013,12,23511,23408,0.00,27,0.00,211,0.177,200,378,0.013,0.164,"maximize",378,0,2633,9, ,1578806341,101,1,1,0.00,1791,8,452
data/knapsack-100-2.dzn,Length-4 NoGood detection,22912,2.07699,890,390,303.336,570,32972,32576,0.00,441837,0.04,1305,303.529,1306,2097131, ,0.193,"satisfy",2097131,0, ,0,118,1578806343,394,83916,254,0.00,253439834,112,2660819
data/knapsack-100-2.dzn,Model with length-4 NoGoods,106293,4.78161,200,101,0.035,12,107253,107150,0.00,4,0.00,211,0.611,200,155,0.035,0.576,"maximize",155,0,2633,3, ,1578806654,101,1, ,0.00,710,7,173
data/knapsack-100-3.dzn,Model with manual Dominance,409,0.197827,426,101,0.253,3055,2190,2087,0.00,11,0.04,2662,0.296,426,12496,0.250,0.043,"maximize",12496,0,2647,28, ,1578806655,101,1, ,0.00,875251,11,12680
data/knapsack-100-3.dzn,Model without without Dominance, ,0.0530674, ,101,3599.947,12,4934,4831,0.00,0,0.01,11,3599.951, ,106070514,3314.891,0.004,"maximize",106070514,0,1299,181, ,1578806655,101,1, ,0.00,401348319,26,106073470
data/knapsack-100-3.dzn,Length-2 NoGood detection,249,0.246982,404,208,0.298,304,4853,4641,0.00,2147,0.02,557,0.332,534,3101, ,0.034,"satisfy",3101,0, ,0,36,1578810256,210,2218,90,0.00,331603,24,6076
data/knapsack-100-3.dzn,Model with length-2 NoGoods,2218,0.14841,166,101,1.241,12,4398,4295,0.00,26,0.00,191,1.269,180,66705,1.235,0.028,"maximize",66705,0,2647,53, ,1578810256,101,1,14,0.00,249355,15,67315
data/knapsack-100-3.dzn,Length-3 NoGood detection,2731,0.323964,768,381,9.201,560,10799,10413,0.00,28352,0.04,1175,9.284,1162,92711, ,0.083,"satisfy",92711,0, ,0,118,1578810258,384,23325,254,0.00,10036089,103,152621
data/knapsack-100-3.dzn,Model with length-3 NoGoods,25543,0.99089,198,101,0.010,12,26538,26435,0.00,9,0.00,210,0.189,199,214,0.008,0.179,"maximize",214,0,2647,7, ,1578810269,101,1,1,0.00,1049,7,253
data/knapsack-100-3.dzn,Length-4 NoGood detection,26077,2.35471,889,390,272.112,570,36136,35740,0.00,432369,0.04,1304,272.404,1304,1963515, ,0.292,"satisfy",1963515,0, ,0,118,1578810272,394,64788,254,0.00,234095129,92,2489154
data/knapsack-100-3.dzn,Model with length-4 NoGoods,90331,4.15451,199,101,0.023,12,91251,91148,0.00,2,0.00,210,0.513,199,109,0.021,0.490,"maximize",109,0,2647,4, ,1578810550,101,1, ,0.00,562,7,130
data/knapsack-100-4.dzn,Model with manual Dominance,517,0.20847,531,101,0.872,3163,3234,3131,0.00,1986,0.04,2659,0.914,531,39299,0.866,0.042,"maximize",39299,0,2737,57, ,1578810551,101,1, ,0.00,4158244,13,41710
data/knapsack-100-4.dzn,Model without without Dominance, ,0.0622956, ,101,3599.937,12,4947,4844,0.00,29455,0.01,11,3599.942, ,108233494,3117.750,0.005,"maximize",108233494,0,1509,212, ,1578810552,101,1, ,0.00,459653313,27,108266798
data/knapsack-100-4.dzn,Length-2 NoGood detection,245,0.275887,400,200,0.296,292,4761,4557,0.00,2211,0.02,541,0.330,526,3075, ,0.034,"satisfy",3075,0, ,0,32,1578814153,202,2112,82,0.00,316607,23,5964
data/knapsack-100-4.dzn,Model with length-2 NoGoods,2112,0.0990718,158,101,2.059,12,5229,5126,0.00,33,0.00,188,2.086,177,88184,2.058,0.027,"maximize",88184,0,2737,77, ,1578814153,101,1,19,0.00,372224,16,89100
data/knapsack-100-4.dzn,Length-3 NoGood detection,2620,0.357186,763,377,8.593,554,10611,10229,0.00,26532,0.04,1164,8.675,1152,84127, ,0.082,"satisfy",84127,0, ,0,116,1578814156,380,24166,250,0.00,9333524,103,143742
data/knapsack-100-4.dzn,Model with length-3 NoGoods,26278,1.03445,199,101,0.010,12,27287,27184,0.00,35,0.00,211,0.192,200,184,0.010,0.182,"maximize",184,0,2737,4, ,1578814166,101,1,1,0.00,1059,7,236
data/knapsack-100-4.dzn,Length-4 NoGood detection,26811,2.42118,888,386,290.889,564,36779,36387,0.00,428654,0.04,1297,291.179,1302,2028833, ,0.290,"satisfy",2028833,0, ,0,116,1578814169,390,78953,250,0.00,236109345,114,2577951
data/knapsack-100-4.dzn,Model with length-4 NoGoods,105231,4.93509,200,101,0.037,12,106155,106052,0.00,6,0.00,211,0.609,200,108,0.036,0.572,"maximize",108,0,2737,3, ,1578814467,101,1, ,0.00,622,6,125
data/knapsack-100-5.dzn,Model with manual Dominance,385,0.152039,402,101,5.299,2488,3612,3509,0.00,6831,0.02,2119,5.336,402,189385,5.274,0.037,"maximize",189385,0,2140,66, ,1578814468,101,1, ,0.00,14145398,14,196735
data/knapsack-100-5.dzn,Model without without Dominance, ,0.065277, ,101,3599.934,12,5114,5011,0.00,0,0.01,11,3599.936, ,120033325,3411.138,0.002,"maximize",120033325,0,1000,175, ,1578814473,101,1, ,0.00,453972402,27,120036470
data/knapsack-100-5.dzn,Length-2 NoGood detection,247,0.383894,402,204,0.236,298,4809,4601,0.00,1747,0.02,549,0.270,530,2744, ,0.034,"satisfy",2744,0, ,0,34,1578818074,206,1697,86,0.00,269559,32,5032
data/knapsack-100-5.dzn,Model with length-2 NoGoods,1697,0.111076,167,101,20.431,12,4962,4859,0.00,36091,0.00,189,20.455,178,753435,20.419,0.024,"maximize",753435,0,2140,86, ,1578818075,101,1,11,0.00,2923408,16,790541
data/knapsack-100-5.dzn,Length-3 NoGood detection,2207,0.307855,765,379,8.408,557,10239,9855,0.00,24772,0.04,1169,8.472,1156,82934, ,0.064,"satisfy",82934,0, ,0,117,1578818096,382,24117,252,0.00,10429982,97,141022
data/knapsack-100-5.dzn,Model with length-3 NoGoods,25814,1.00789,198,101,0.013,12,26924,26821,0.00,9,0.00,209,0.194,198,417,0.012,0.181,"maximize",417,0,2140,6, ,1578818106,101,1, ,0.00,1765,8,455
