Instance,Model,flatBoolConstraints,flatTime,evaluatedReifiedConstraints,flatIntVars,solveTime,propagators,variables,boolVariables,baseMem,backjumps,trailMem,flatIntConstraints,time,flatBoolVars,nogoods,optTime,initTime,method,failures,paths,objective,restarts,eliminatedImplications,randomSeed,intVars,nSolutions,evaluatedHalfReifiedConstraints,peakMem,propagations,peakDepth,nodes
data/knapsack-300-10.dzn,Model with manual Dominance,9850,1.18817,9978,301,3598.812,31330,36769,36466,0.00,1102970,0.28,21607,3599.087,9978,34132420,3554.977,0.275,"maximize",34132420,0,20955,252, ,1578794825,301,1, ,0.00,15716926984,25,35239588
data/knapsack-300-10.dzn,Model without without Dominance, ,0.0445068, ,301,3599.957,92,13396,13093,0.00,0,0.02,91,3599.968, ,48440251,3284.579,0.011,"maximize",48440251,0,4628,156, ,1578798424,301,1, ,0.00,249289457,63,48448581
data/knapsack-300-10.dzn,Length-2 NoGood detection,1643,0.294743,1798,1036,5.825,2526,19009,17969,0.00,39041,0.08,2893,5.946,2962,19253, ,0.121,"satisfy",19253,0, ,0,270,1578802024,1038,11538,718,0.00,11195765,99,70051
data/knapsack-300-10.dzn,Model with length-2 NoGoods,11538,0.416081,444,301,3593.638,92,30060,29757,0.00,763133,0.01,571,3593.734,480,52666801,2966.345,0.096,"maximize",52666801,0,17094,167, ,1578802031,301,1,36,0.00,330666245,35,53433937
data/knapsack-300-10.dzn,Length-3 NoGood detection,13828,1.08704,2745,1375,314.737,3031,40306,38926,0.00,745320,0.12,4343,314.977,4556,1036538, ,0.240,"satisfy",1036538,0, ,0,435,1578805626,1378,377859,1048,0.00,473776077,228,2638338
data/knapsack-300-10.dzn,Model with length-3 NoGoods,389397,15.1213,593,301,93.190,92,396652,396349,0.00,2249,0.01,688,94.824,597,1140297,92.601,1.634,"maximize",1140297,0,22687,50, ,1578805962,301,1,4,0.00,6935469,18,1142881
data/knapsack-300-10.dzn,Length-4 NoGood detection,391806,36.358,3164,1384, , , , , , , ,4770, ,5094, , , ,"satisfy", ,0, , ,435, , ,52,1048, , , , 
data/knapsack-300-10.dzn,Model with length-4 NoGoods, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
data/knapsack-300-1.dzn,Model with manual Dominance,8896,1.16649,9025,301,3598.860,30176,31546,31243,0.00,1560503,0.28,21408,3599.124,9025,40794045,3263.697,0.264,"maximize",40794045,0,20578,136, ,1578809344,301,1, ,0.00,13391313060,25,42356534
data/knapsack-300-1.dzn,Model without without Dominance, ,0.083007, ,301,3599.922,92,15571,15268,0.00,0,0.02,91,3599.933, ,38532182,3557.388,0.011,"maximize",38532182,0,4264,121, ,1578812943,301,1, ,0.00,152538739,56,38538015
data/knapsack-300-1.dzn,Length-2 NoGood detection,1645,0.356797,1800,1040,6.438,2532,19005,17961,0.00,47485,0.08,2901,6.500,2966,20487, ,0.062,"satisfy",20487,0, ,0,272,1578816544,1042,12295,722,0.00,11720837,93,81568
data/knapsack-300-1.dzn,Model with length-2 NoGoods,12295,0.461369,448,301,3593.039,92,28097,27794,0.00,11528,0.02,571,3593.139,480,53472916,3389.520,0.100,"maximize",53472916,0,17352,104, ,1578816551,301,1,32,0.00,372108665,24,53486361
data/knapsack-300-1.dzn,Length-3 NoGood detection,14586,1.23224,2746,1377,286.310,3034,41026,39644,0.00,560027,0.12,4347,286.490,4558,982335, ,0.180,"satisfy",982335,0, ,0,436,1578820145,1380,345355,1050,0.00,430127592,258,2319904
data/knapsack-300-1.dzn,Model with length-3 NoGoods,357650,13.7908,594,301,228.030,92,365943,365640,0.00,235413,0.01,688,229.519,597,3933587,227.876,1.489,"maximize",3933587,0,21714,44, ,1578820451,301,1,3,0.00,21030225,21,4169409
data/knapsack-300-1.dzn,Length-4 NoGood detection,360060,32.9171,3165,1386, , , , , , , ,4774, ,5096, , , ,"satisfy", ,0, , ,436, , ,9230,1050, , , , 
data/knapsack-300-1.dzn,Model with length-4 NoGoods, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
data/knapsack-300-2.dzn,Model with manual Dominance,9446,1.18507,9579,301,3598.815,31491,33646,33343,0.00,1691828,0.28,22177,3599.089,9579,32122015,3228.643,0.274,"maximize",32122015,0,22578,167, ,1578823996,301,1, ,0.00,15291331544,27,33816724
