Instance,Model,flatBoolConstraints,flatTime,evaluatedReifiedConstraints,flatIntVars,solveTime,propagators,variables,boolVariables,baseMem,backjumps,trailMem,flatIntConstraints,time,flatBoolVars,nogoods,optTime,initTime,method,failures,paths,objective,restarts,eliminatedImplications,randomSeed,intVars,nSolutions,evaluatedHalfReifiedConstraints,peakMem,propagations,peakDepth,nodes
data/knapsack-100-10.dzn,Model with manual Dominance, ,0.162124, ,101,0.480,2291,2345,2242,0.00,26,0.04,2290,0.509, ,25286,0.476,0.029,"maximize",25286,0,2566,42, ,1578794529,101,1, ,0.00,2403431,10,25528
data/knapsack-100-10.dzn,Model without without Dominance, ,0.0359273, ,101,3599.964,3,5142,5039,0.00,0,0.01,2,3599.967, ,131060648,3502.098,0.003,"maximize",131060648,0,1380,210, ,1578794529,101,1, ,0.00,427918767,30,131064559
data/knapsack-100-10.dzn,Length-2 NoGood detection,106,0.172097,306,118,0.275,27,3966,3844,0.00,1715,0.02,324,0.300,311,3320, ,0.025,"satisfy",3320,0, ,0, ,1578798130,120,2288, ,0.00,111505,22,5035
data/knapsack-100-10.dzn,Model with length-2 NoGoods,2288,0.148535,179,101,0.422,3,4848,4745,0.00,27,0.00,194,0.451,192,25527,0.421,0.029,"maximize",25527,0,2566,42, ,1578798130,101,1,13,0.00,67228,10,25821
data/knapsack-100-10.dzn,Length-3 NoGood detection,2688,0.311837,700,327,11.514,337,10268,9936,0.00,31935,0.04,1026,11.593,999,122513, ,0.079,"satisfy",122513,0, ,0,100,1578798131,330,34014,200,0.00,9092454,114,188462
data/knapsack-100-10.dzn,Model with length-3 NoGoods,36302,1.43247,200,101,0.012,3,37263,37160,0.00,0,0.00,202,0.236,200,171,0.012,0.224,"maximize",171,0,2566,8, ,1578798145,101,1, ,0.00,479,6,206
data/knapsack-100-10.dzn,Length-4 NoGood detection,36712,3.40739,810,336,463.248,347,46228,45886,0.00,773556,0.04,1144,463.614,1119,3402040, ,0.366,"satisfy",3402040,0, ,0,100,1578798149,340,141527,200,0.00,259412171,114,4317272
data/knapsack-100-10.dzn,Model with length-4 NoGoods,177829,7.90692,200,101,0.037,3,178726,178623,0.00,0,0.00,202,0.927,200,95,0.036,0.890,"maximize",95,0,2566,4, ,1578798623,101,1, ,0.00,235,5,110
data/knapsack-100-1.dzn,Model with manual Dominance, ,0.144202, ,101,0.290,2512,1969,1866,0.00,18,0.04,2511,0.322, ,14262,0.286,0.032,"maximize",14262,0,2714,32, ,1578798625,101,1, ,0.00,1542720,12,14465
data/knapsack-100-1.dzn,Model without without Dominance, ,0.0562574, ,101,3599.944,3,4792,4689,0.00,0,0.01,2,3599.947, ,134746127,2000.202,0.003,"maximize",134746127,0,1178,143, ,1578798625,101,1, ,0.00,424914285,27,134748442
data/knapsack-100-1.dzn,Length-2 NoGood detection,106,0.16751,306,118,0.310,27,3934,3812,0.00,2520,0.02,324,0.334,311,3538, ,0.024,"satisfy",3538,0, ,0, ,1578802226,120,2509, ,0.00,115043,21,6058
data/knapsack-100-1.dzn,Model with length-2 NoGoods,2509,0.16423,184,101,0.270,3,4669,4566,0.00,18,0.00,193,0.301,191,14262,0.265,0.031,"maximize",14262,0,2714,32, ,1578802226,101,1,7,0.00,38108,12,14468
data/knapsack-100-1.dzn,Length-3 NoGood detection,2908,0.339689,699,327,7.853,337,10439,10107,0.00,38155,0.04,1025,7.934,997,99004, ,0.081,"satisfy",99004,0, ,0,100,1578802227,330,27555,200,0.00,6895545,115,164714
data/knapsack-100-1.dzn,Model with length-3 NoGoods,30064,1.16873,198,101,0.006,3,31000,30897,0.00,0,0.00,200,0.205,198,127,0.005,0.199,"maximize",127,0,2714,4, ,1578802237,101,1, ,0.00,340,7,147
data/knapsack-100-1.dzn,Length-4 NoGood detection,30472,2.60475,808,336,249.477,347,39922,39580,0.00,795466,0.04,1142,249.798,1115,2578518, ,0.321,"satisfy",2578518,0, ,0,100,1578802240,340,101866,200,0.00,185918689,120,3476066
data/knapsack-100-1.dzn,Model with length-4 NoGoods,131930,5.90408,200,101,0.033,3,132832,132729,0.00,0,0.00,202,0.687,200,92,0.031,0.654,"maximize",92,0,2714,3, ,1578802498,101,1, ,0.00,226,4,105
data/knapsack-100-2.dzn,Model with manual Dominance, ,0.144731, ,101,0.783,2434,2703,2600,0.00,29,0.04,2433,0.814, ,40315,0.659,0.031,"maximize",40315,0,2654,53, ,1578802499,101,1, ,0.00,3371387,13,40681
data/knapsack-100-2.dzn,Model without without Dominance, ,0.057956, ,101,3599.942,3,5293,5190,0.00,0,0.01,2,3599.945, ,108690493,3078.649,0.003,"maximize",108690493,0,1221,137, ,1578802500,101,1, ,0.00,352468161,28,108693027
data/knapsack-100-2.dzn,Length-2 NoGood detection,106,0.205612,306,118,0.312,27,3982,3860,0.00,2388,0.02,324,0.336,311,3389, ,0.024,"satisfy",3389,0, ,0, ,1578806101,120,2431, ,0.00,115240,27,5777
data/knapsack-100-2.dzn,Model with length-2 NoGoods,2431,0.136238,180,101,0.716,3,5326,5223,0.00,29,0.00,194,0.740,192,40315,0.594,0.024,"maximize",40315,0,2654,53, ,1578806101,101,1,12,0.00,108275,13,40783
data/knapsack-100-2.dzn,Length-3 NoGood detection,2831,0.325661,700,327,7.453,337,10435,10103,0.00,42678,0.04,1026,7.517,999,94706, ,0.064,"satisfy",94706,0, ,0,100,1578806102,330,26652,200,0.00,6815235,117,164036
data/knapsack-100-2.dzn,Model with length-3 NoGoods,29083,1.09188,199,101,0.011,3,30112,30009,0.00,2,0.00,201,0.182,199,254,0.009,0.171,"maximize",254,0,2654,8, ,1578806112,101,1, ,0.00,722,7,296
data/knapsack-100-2.dzn,Length-4 NoGood detection,29492,2.63651,809,336,278.953,347,39039,38697,0.00,1009272,0.04,1143,279.273,1117,2917603, ,0.320,"satisfy",2917603,0, ,0,100,1578806115,340,113322,200,0.00,219975382,127,4041243
data/knapsack-100-2.dzn,Model with length-4 NoGoods,142405,6.39086,200,101,0.036,3,143319,143216,0.00,0,0.00,202,0.762,200,131,0.030,0.726,"maximize",131,0,2654,2, ,1578806403,101,1, ,0.00,308,6,141
